State,County_Name,County_Website_URL,Health_Department_Name,Health_Department_Contact_Email,Health_Department_Contact_Phone,Program_Name,Program_Category,Program_Description,Target_Population,Eligibility_Requirements,Application_Process,Required_Documentation,Financial_Assistance_Available,Program_Website_URL,Last_Updated,Data_Collector_Name,Notes
California,Riverside,https://www.rivco.org/,Riverside County Public Health,Not found,Not found,California WIC Program,Tier 1 — Universal,"Riverside County WIC helps pregnant women, new mothers and young children eat well, stay healthy and be active.","Low-income pregnant, postpartum, and breastfeeding women; infants and children",Not specified,Not specified,Not specified,Yes,https://wicprogram.us/wic_programs-city/riverside_ca,2026-03-16,Swindar,
California,Riverside,https://www.rivco.org/,Riverside County Public Health,Not found,Not found,WIC,Tier 1 — Universal,"Riverside County WIC helps pregnant women, new mothers and young children eat well, stay healthy and be active.","Low-income pregnant, postpartum, and breastfeeding women; infants and children",Not specified,Not specified,Not specified,Yes,https://wicprogram.us/program/update?id=6275,2026-03-16,Swindar,
